learner,benchmark,protocol,prefix_fraction,probe_count,intervention_cost,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,n_runs,confusion_matrix,feature_names,recall_neither,recall_reward,recall_observation,recall_both
tabular,factorial,reward,0.1,64,320.0,0.75,0.55,0.95,0.7443181818181819,0.48717948717948717,0.9494949494949495,20,"[[5, 0, 0, 0], [2, 3, 0, 0], [0, 0, 3, 2], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,0.6,0.6,0.8
tabular,factorial,combined,0.1,4,36.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,combined,0.1,8,72.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,combined,0.1,16,144.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,combined,0.1,32,288.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,combined,0.1,64,576.0,0.95,0.85,1.0,0.9494949494949495,0.8351648351648351,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 1, 0, 4]]","[""action_diversity"", ""audited_intended_mean"", ""audited_proxy_mean"", ""episode_length"", ""history_dependence"", ""intended_action0"", ""intended_action1"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_audit_disagreement"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,0.8
tabular,factorial,random,0.2,0,0.0,0.25,0.05,0.4,0.24431818181818182,0.05,0.3628593628593628,20,"[[2, 1, 0, 2], [2, 1, 1, 1], [1, 0, 2, 2], [1, 1, 3, 0]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.2,0.4,0.0
tabular,factorial,reward_curve,0.2,0,0.0,0.44999999999999996,0.3,0.6000000000000001,0.45227272727272727,0.26666666666666666,0.6054292929292929,20,"[[2, 3, 0, 0], [3, 2, 0, 0], [0, 0, 2, 3], [1, 0, 1, 3]]","[""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std""]",0.4,0.4,0.4,0.6
tabular,factorial,training_statistics,0.2,0,0.0,0.45,0.3,0.6000000000000001,0.4344017094017094,0.26428571428571423,0.5833333333333334,20,"[[2, 3, 0, 0], [3, 1, 1, 0], [0, 0, 4, 1], [0, 0, 3, 2]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",0.4,0.2,0.8,0.4
tabular,factorial,state,0.2,4,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[""action_diversity"", ""episode_length"", ""history_dependence"", ""observation_coverage"", ""observation_entropy"", ""policy_entropy_mean"", ""reward_change"", ""reward_mean"", ""reward_slope"", ""reward_std"", ""state_action_match_proxy"", ""state_action_mismatch_proxy"", ""state_observation_agreement"", ""state_proxy_agreement"", ""td_error_abs_mean"", ""td_error_mean"", ""td_error_std""]",1.0,1.0,1.0,1.0
