run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,intended_reward
run-4173cd53833e3929,factorial,tabular,3,reward,25,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,26,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,27,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,28,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,29,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,30,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,31,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,32,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,33,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,34,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,35,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,36,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,37,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,38,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,39,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,40,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,41,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,42,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,43,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,44,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,45,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,46,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,47,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,48,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,49,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,50,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,51,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,52,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,53,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,54,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,55,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,56,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,57,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,58,0,0,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,59,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,60,1,0,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,61,1,1,1.0,1.0
run-4173cd53833e3929,factorial,tabular,3,reward,62,0,1,0.0,0.0
run-4173cd53833e3929,factorial,tabular,3,reward,63,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,0,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,1,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,2,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,3,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,4,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,5,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,6,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,7,0,0,1.0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,8,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,9,1,0,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,10,0,1,0.0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,reward,11,0,1,0.0,0.0
