run_id,benchmark,learner,seed,kind,probe_episode,observation,action,proxy_reward,latent_state,intended_reward
run-4173cd53833e3929,factorial,tabular,3,combined,28,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,29,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,30,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,31,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,32,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,33,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,34,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,35,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,36,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,37,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,38,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,39,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,40,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,41,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,42,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,43,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,44,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,45,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,46,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,47,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,48,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,49,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,50,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,51,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,52,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,53,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,54,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,55,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,56,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,57,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,58,0,0,1.0,0,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,59,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,60,1,0,0.0,1,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,61,1,1,1.0,1,1.0
run-4173cd53833e3929,factorial,tabular,3,combined,62,0,1,0.0,0,0.0
run-4173cd53833e3929,factorial,tabular,3,combined,63,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,0,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,1,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,2,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,3,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,4,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,5,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,6,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,7,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,8,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,9,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,10,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,11,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,12,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,13,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,14,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,15,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,16,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,17,1,1,1.0,1,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,18,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,19,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,20,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,21,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,22,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,23,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,24,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,25,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,26,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,27,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,28,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,29,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,30,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,31,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,32,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,33,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,34,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,35,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,36,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,37,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,38,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,39,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,40,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,41,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,42,1,1,1.0,1,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,43,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,44,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,45,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,46,1,1,1.0,1,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,47,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,48,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,49,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,50,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,51,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,52,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,53,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,54,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,55,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,56,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,57,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,58,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,59,1,1,1.0,1,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,60,1,0,0.0,1,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,61,0,0,1.0,0,1.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,62,0,1,0.0,0,0.0
run-1e6beac6382bcd08,factorial,tabular,4,combined,63,0,0,1.0,0,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,0,0,0,0.0,0,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,1,1,1,0.0,1,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,2,1,1,0.0,1,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,3,0,1,1.0,0,0.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,4,0,1,1.0,0,0.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,5,0,0,0.0,0,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,6,0,0,0.0,0,1.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,7,0,1,1.0,0,0.0
run-e22aa4824ee5d06a,factorial,tabular,0,combined,8,1,1,0.0,1,1.0
